,Club,League,League Level,Country,Region
0,Real Madrid CF,Spanish Primera División ,1,Spain,Europe
1,FC Bayern Munich,German Bundesliga ,1,Germany,Europe
2,FC Barcelona,Spanish Primera División ,1,Spain,Europe
3,Juventus,Italian Serie A ,1,Italy,Europe
4,Manchester City,English Premier League ,1,England,Europe
5,Tottenham Hotspur,English Premier League ,1,England,Europe
6,Manchester United,English Premier League ,1,England,Europe
7,Atlético Madrid,Spanish Primera División ,1,Spain,Europe
8,Paris Saint-Germain,French Ligue 1 ,1,France,Europe
9,Chelsea,English Premier League ,1,England,Europe
10,Arsenal,English Premier League ,1,England,Europe
11,Borussia Dortmund,German Bundesliga ,1,Germany,Europe
12,Napoli,Italian Serie A ,1,Italy,Europe
13,Roma,Italian Serie A ,1,Italy,Europe
14,Liverpool,English Premier League ,1,England,Europe
15,Lazio,Italian Serie A ,1,Italy,Europe
16,Inter,Italian Serie A ,1,Italy,Europe
17,FC Porto,Portuguese Primeira Liga ,1,Portugal,Europe
18,Valencia CF,Spanish Primera División ,1,Spain,Europe
19,AS Monaco,French Ligue 1 ,1,France,Europe
20,Sevilla FC,Spanish Primera División ,1,Spain,Europe
21,Milan,Italian Serie A ,1,Italy,Europe
22,FC Schalke 04,German Bundesliga ,1,Germany,Europe
23,Bayer 04 Leverkusen,German Bundesliga ,1,Germany,Europe
24,Everton,English Premier League ,1,England,Europe
25,Athletic Club de Bilbao,Spanish Primera División ,1,Spain,Europe
26,Villarreal CF,Spanish Primera División ,1,Spain,Europe
27,Beşiktaş JK,Turkish Süper Lig ,1,Turkey,Europe
28,Sporting CP,Portuguese Primeira Liga ,1,Portugal,Europe
29,SL Benfica,Portuguese Primeira Liga ,1,Portugal,Europe
30,TSG 1899 Hoffenheim,German Bundesliga ,1,Germany,Europe
31,RCD Espanyol,Spanish Primera División ,1,Spain,Europe
32,Leicester City,English Premier League ,1,England,Europe
33,Olympique de Marseille,French Ligue 1 ,1,France,Europe
34,RB Leipzig,German Bundesliga ,1,Germany,Europe
35,Olympique Lyonnais,French Ligue 1 ,1,France,Europe
36,RC Celta de Vigo,Spanish Primera División ,1,Spain,Europe
37,Real Betis Balompié,Spanish Primera División ,1,Spain,Europe
38,Real Sociedad,Spanish Primera División ,1,Spain,Europe
39,Borussia Mönchengladbach,German Bundesliga ,1,Germany,Europe
40,Torino,Italian Serie A ,1,Italy,Europe
41,Burnley,English Premier League ,1,England,Europe
42,Eintracht Frankfurt,German Bundesliga ,1,Germany,Europe
43,SD Eibar,Spanish Primera División ,1,Spain,Europe
44,RC Deportivo de La Coruña,Spanish Primera División ,1,Spain,Europe
45,West Ham United,English Premier League ,1,England,Europe
46,Fenerbahçe SK,Turkish Süper Lig ,1,Turkey,Europe
47,Spartak Moscow,Russian Premier League ,1,Russia,Europe
48,Galatasaray SK,Turkish Süper Lig ,1,Turkey,Europe
49,OGC Nice,French Ligue 1 ,1,France,Europe
50,VfL Wolfsburg,German Bundesliga ,1,Germany,Europe
51,Fiorentina,Italian Serie A ,1,Italy,Europe
52,Hertha BSC Berlin,German Bundesliga ,1,Germany,Europe
53,Zenit St. Petersburg,Russian Premier League ,1,Russia,Europe
54,Watford,English Premier League ,1,England,Europe
55,Shakhtar Donetsk,Ukrainian Premier League ,1,Ukraine,Europe
56,West Bromwich Albion,English Premier League ,1,England,Europe
57,AS Saint-Étienne,French Ligue 1 ,1,France,Europe
58,Southampton,English Premier League ,1,England,Europe
